rank,personName,age,finalWorth,category,countryOfCitizenship,organization,selfMade,gender,birthDate,title
1292,Kalanithi Maran,56,2400,Media & Entertainment,India,,True,M,1965-07-26,
1292,Lirio Parisotto,68,2400,Finance & Investments,Brazil,,True,M,1953-12-18,
1292,Rajan Raheja & family,67,2400,Diversified,India,,False,M,1954-06-01,
1292,Alberto Roemmers,95,2400,Healthcare,Argentina,,False,M,1927-01-01,
1292,Rodney Sacks,72,2400,Food & Beverage,United States,Monster Beverage,True,M,1949-12-24,CEO
1292,Ferit Faik Sahenk,58,2400,Diversified,Turkey,,False,M,1964-03-18,
1292,Hilton Schlosberg,69,2400,Food & Beverage,United Kingdom,,True,M,1953-01-01,
1292,Alberto Siccardi & family,77,2400,Healthcare,Switzerland,,False,M,1944-05-01,
1292,Salil Singhal,74,2400,Manufacturing,India,,False,M,1947-07-21,
1292,Lucy Stitzer,62,2400,Food & Beverage,United States,,False,F,1960-01-01,
1292,Otto Toto Sugiri,68,2400,Technology,Indonesia,,True,M,1953-09-23,
1292,Harley Sy,62,2400,Diversified,Philippines,,False,M,1959-06-01,
1292,Teresita Sy-Coson,71,2400,Diversified,Philippines,,False,F,1950-10-01,
1292,Katsumi Tada,76,2400,Real Estate,Japan,,True,M,1945-07-12,
1292,Tang Yiu,88,2400,Fashion & Retail,Hong Kong,,True,M,1934-04-01,
1292,Jeff Tangney,49,2400,Healthcare,United States,Doximity,True,M,1972-08-09,CEO
1292,Lottie Tham & family,72,2400,Fashion & Retail,Sweden,,False,F,1949-04-18,
1292,T.Y. Tsai,69,2400,Finance & Investments,Taiwan,,False,M,1953-01-01,
1292,Timur Turlov,34,2400,Finance & Investments,Russia,,True,M,1987-11-13,
1292,Hamdi Ulukaya,49,2400,Food & Beverage,Turkey,Chobani,True,M,1972-10-26,Entrepreneur
1292,Peter Unger,77,2400,Automotive,Germany,,True,M,1944-08-20,
1292,Nikil Viswanathan,34,2400,Technology,United States,,True,M,1987-10-16,
1292,Anthony Wood,56,2400,Technology,United States,,True,M,1965-12-04,
1292,Zhang Hongwei,67,2400,Diversified,China,,True,M,1954-12-26,
1292,Zhang Li,69,2400,Real Estate,China,,True,M,1953-01-01,
1341,Houshan Bai,58,2300,Energy,China,,True,M,1964-01-01,
1341,Alex Beard,54,2300,Metals & Mining,United Kingdom,,True,M,1967-08-03,
1341,Koos Bekker,69,2300,Media & Entertainment,South Africa,,True,M,1952-12-14,
1341,William Boyd & family,90,2300,Gambling & Casinos,United States,,True,M,1931-11-04,
1341,Timothy Boyle,72,2300,Fashion & Retail,United States,,True,M,1949-09-07,
1341,Anand Burman,69,2300,Food & Beverage,India,,False,M,1952-05-05,
1341,Richard Chandler,63,2300,Finance & Investments,New Zealand,,False,M,1959-01-01,
1341,R.G. Chandramogan,73,2300,Food & Beverage,India,,True,M,1949-03-01,
1341,Cho Young-sik,60,2300,Healthcare,South Korea,,True,M,1961-06-30,
1341,Chu Lam Yiu,52,2300,Manufacturing,Hong Kong,,True,F,1969-12-01,
1341,Kommer Damen,78,2300,Manufacturing,Netherlands,,False,M,1944-03-30,
1341,Henry Davis,71,2300,Food & Beverage,United States,,False,M,1951-02-16,
1341,Ray Davis,80,2300,Energy,United States,,True,M,1941-12-18,
1341,Stephen Feinberg,62,2300,Finance & Investments,United States,Cerberus Capital Management,True,M,1960-03-29,Co-founder and CEO
1341,Kenneth Feld & family,73,2300,Media & Entertainment,United States,Feld Entertainment,False,M,1948-10-31,Chairman
1341,Alexander Frolov,57,2300,Metals & Mining,Russia,,True,M,1964-05-17,
1341,Mario Germano Giuliani,50,2300,Healthcare,Switzerland,,False,M,1972-02-26,
1341,Serge Godin,72,2300,Technology,Canada,CGI,True,M,1949-11-17,Entrepreneur
1341,Noam Gottesman,60,2300,Finance & Investments,United States,TOMS Capital,True,M,1961-05-24,Chief Executive Officer
1341,Philip & Cristina Green,70,2300,Fashion & Retail,United Kingdom,,True,,1952-03-15,
1341,Yusuf Hamied,85,2300,Healthcare,India,,False,M,1936-07-26,
1341,Bill Haslam,63,2300,Fashion & Retail,United States,,False,M,1958-08-23,
1341,Hans-Werner Hector,82,2300,Technology,Germany,,True,M,1940-01-17,
1341,Ho Hung Anh,51,2300,Finance & Investments,Vietnam,,True,M,1970-06-08,
1341,Douglas Hsu,79,2300,Diversified,Taiwan,,False,M,1942-08-24,
1341,Erman Ilicak,54,2300,Construction & Engineering,Turkey,,True,M,1967-10-03,
1341,Zhaobai Jiang,58,2300,Real Estate,China,,True,M,1963-08-17,
1341,Osman Kibar,51,2300,Healthcare,United States,Samumed,True,M,1971-04-01,Founder; CEO
1341,Adam Kwok,39,2300,Real Estate,Hong Kong,,False,M,1983-04-01,
1341,Frank Laukien,62,2300,Manufacturing,United States,,False,M,1960-02-04,
1341,Louis Le Duff,75,2300,Food & Beverage,France,,True,M,1946-08-01,
1341,Solomon Lew,77,2300,Fashion & Retail,Australia,,True,M,1945-03-22,
1341,Liang Rubo,39,2300,Technology,China,,True,M,1983-01-01,
1341,Liang Zhaoxian,57,2300,Manufacturing,China,,False,M,1965-01-01,
1341,Prayudh Mahagitsiri,76,2300,Food & Beverage,Thailand,,False,M,1946-01-01,
1341,Clayton Mathile,81,2300,Food & Beverage,United States,,True,M,1941-01-11,Investor; Philanthropist
1341,Erwin Franz Mueller,89,2300,Fashion & Retail,Germany,,True,M,1932-08-09,Entrepreneur
1341,David Murdock,98,2300,Food & Beverage,United States,,True,M,1923-04-10,
1341,Rubens Ometto Silveira Mello,72,2300,Energy,Brazil,,False,M,1950-01-01,
1341,Erik Paulsson & family,80,2300,Real Estate,Sweden,,True,M,1942-01-31,
1341,Heloise Pratt,59,2300,Manufacturing,Australia,,False,F,1962-09-13,
1341,Qiu Jianping & family,60,2300,Manufacturing,China,,True,M,1962-01-28,
1341,Dirk Rossmann & family,75,2300,Fashion & Retail,Germany,,True,M,1946-09-07,
1341,Karin Schick,,2300,Technology,Germany,,False,F,,Entrepreneur
1341,Stephan Schmidheiny,74,2300,Finance & Investments,Switzerland,,False,M,1947-10-29,
1341,Wenrong Shen,76,2300,Metals & Mining,China,,True,M,1946-02-13,
1341,Guangxin Sun,59,2300,Diversified,China,,True,M,1962-12-01,
1341,Mengquan Sun & family,72,2300,Food & Beverage,China,,True,M,1950-03-01,
1341,Thomas Tull,51,2300,Media & Entertainment,United States,,True,M,1970-06-11,
1341,Ted Turner,83,2300,Media & Entertainment,United States,,False,M,1938-11-19,
1341,David Walentas,83,2300,Real Estate,United States,,True,M,1938-08-07,
1341,Yingming Wu,55,2300,Energy,China,,True,M,1967-01-01,
1341,Yingzhuo Xu,54,2300,Food & Beverage,China,,True,M,1968-01-01,
1341,Christoph Zeller,64,2300,Healthcare,Liechtenstein,,False,M,1957-05-04,
1341,Zhang Wanzhen,72,2300,Manufacturing,China,,True,M,1949-12-01,
1341,Xiaojuan Zhang,52,2300,Logistics,China,,True,F,1969-10-01,
1397,Michael Ashcroft,76,2200,Finance & Investments,United Kingdom,,True,M,1946-01-01,
1397,Alex Atallah,30,2200,Technology,United States,OpenSea,True,M,1992-03-09,Cofounder
1397,Brett Blundy,62,2200,Fashion & Retail,Australia,,True,M,1960-01-17,
1397,Chris Britt,49,2200,Finance & Investments,United States,,True,M,1973-03-17,
1397,Cen Junda,57,2200,Healthcare,China,,True,M,1964-06-18,
1397,Yadu Hari Dalmia & family,74,2200,Manufacturing,India,,False,M,1947-06-02,
1397,Zhenggang Dou,68,2200,Diversified,China,,True,M,1953-05-21,
1397,Weimin Du,58,2200,Healthcare,China,,True,M,1963-12-01,
1397,Devin Finzer,31,2200,Technology,United States,,True,M,1990-10-18,
1397,Robert Friedland,71,2200,Metals & Mining,United States,Ivanhoe Mines Ltd.,True,M,1950-08-18,Founder and Executive Chairman
1397,Phillip Frost,85,2200,Healthcare,United States,,True,M,1936-11-11,
1397,Jeffrey Gundlach,63,2200,Finance & Investments,United States,DoubleLine Capital,True,M,1959-01-01,CEO
1397,John Hancock,46,2200,Metals & Mining,Australia,,False,M,1976-01-02,
1397,Georg Haub,60,2200,Fashion & Retail,Germany,,False,M,1962-01-01,
1397,Hortensia Herrero,71,2200,Fashion & Retail,Spain,,False,F,1950-05-20,
1397,B. Wayne Hughes; Jr.,61,2200,Real Estate,United States,,False,M,1961-01-01,
1397,Bruce Karsh,66,2200,Finance & Investments,United States,Oaktree Capital Group LLC,True,M,1955-10-10,President
1397,Shlomo Kramer,56,2200,Technology,Israel,,True,M,1966-03-14,
1397,Jonathan Kwok,30,2200,Real Estate,Hong Kong,,False,M,1992-03-01,
1397,Christian Latouche,81,2200,Finance & Investments,France,,True,M,1940-07-18,
1397,Martin Lau,49,2200,Technology,Hong Kong,,True,M,1973-04-01,
1397,Li Wa,56,2200,Real Estate,Hong Kong,,True,M,1966-01-01,
1397,Liang Xinjun,54,2200,Diversified,China,,True,M,1968-01-01,
1397,Lin Chang Su-O,81,2200,Real Estate,Taiwan,,False,F,1940-08-01,
1397,Lin Fanlian,60,2200,Energy,China,,True,M,1961-06-01,
1397,Lin Lairong & family,53,2200,Metals & Mining,China,,True,M,1968-08-09,
1397,Daniel Lubetzky,53,2200,Food & Beverage,United States,,True,M,1968-09-28,
1397,Howard Marks,75,2200,Finance & Investments,United States,Oaktree Capital Group LLC,True,M,1946-04-23,Chairman
1397,Craig McCaw,72,2200,Telecom,United States,,False,M,1949-08-11,
1397,Vincent McMahon,76,2200,Sports,United States,,True,M,1945-08-24,
1397,Mu Rongjun,42,2200,Technology,China,,True,M,1980-01-01,
1397,Jonathan Nelson,65,2200,Finance & Investments,United States,Providence Equity Partners,True,M,1956-05-18,Chief executive officer
1397,Bianca Rinehart,45,2200,Metals & Mining,Australia,,False,F,1977-03-19,
1397,Ginia Rinehart,35,2200,Metals & Mining,Australia,,False,F,1986-09-06,
1397,Filiz Sahenk,55,2200,Diversified,Turkey,,False,F,1967-02-14,
1397,S.D. Shibulal,67,2200,Technology,India,,True,M,1955-03-01,
1397,Alexander Svetakov,54,2200,Finance & Investments,Russia,,True,M,1968-02-15,
1397,Jeffrey Talpins,47,2200,Finance & Investments,United States,Element Capital Management,True,M,1975-03-06,Founder
1397,Ming Tian,68,2200,Technology,China,,True,M,1953-12-20,
1397,Arvind Tiku,52,2200,Energy,India,,True,M,1970-02-22,
1397,Torsten Toeller,55,2200,Fashion & Retail,Germany,,True,M,1966-04-06,
1397,Riaz Valani,45,2200,Finance & Investments,United States,,True,M,1976-09-01,
1397,Pieter van der Does,52,2200,Technology,Netherlands,,True,M,1969-05-01,Entrepreneur
1397,Lang Walker,76,2200,Real Estate,Australia,,True,M,1945-07-05,
1397,Hope Welker,36,2200,Metals & Mining,Australia,,False,F,1985-08-13,
1397,Xie Bingkun & family,55,2200,Fashion & Retail,China,,True,M,1966-08-25,
1397,William Young,81,2200,Manufacturing,United States,,True,M,1941-01-01,
1397,Zhou Jian,45,2200,Energy,China,,True,M,1976-07-01,
1445,Bill and Jean Adderley & family,,2100,Fashion & Retail,United Kingdom,,True,,,
1445,Mohamed Al Fayed,93,2100,Fashion & Retail,Egypt,,True,M,1929-01-27,
1445,Faisal Bin Qassim Al Thani,74,2100,Diversified,Qatar,,True,M,1948-01-01,
1445,Masaaki Arai,56,2100,Real Estate,Japan,,True,M,1965-10-29,
1445,Tatyana Bakalchuk,46,2100,Fashion & Retail,Russia,,True,F,1975-10-16,
1445,Lee Bass,65,2100,Energy,United States,,False,M,1956-05-24,
1445,Alberto Bombassei,81,2100,Automotive,Italy,,False,M,1940-10-05,
1445,Jim Breyer,60,2100,Technology,United States,Breyer Capital,True,M,1961-07-26,Investor
1445,Ron Burkle,69,2100,Finance & Investments,United States,The Yucaipa Companies; LLC,True,M,1952-11-12,Investor
1445,Chen Huwen,51,2100,Manufacturing,China,,True,M,1970-07-01,
1445,Chen Huxiong,51,2100,Manufacturing,China,,True,M,1970-07-01,
1445,Chen Xuehua,61,2100,Metals & Mining,China,,True,M,1961-01-01,
1445,Bruce Cheng,86,2100,Technology,Taiwan,,True,M,1936-01-01,
1445,Ryan Cohen,36,2100,Finance & Investments,Canada,,True,M,1985-08-04,
1445,Dermot Desmond,71,2100,Finance & Investments,Ireland,,True,M,1950-07-01,
1445,Fred Ehrsam,33,2100,Finance & Investments,United States,Coinbase,True,M,1988-05-10,Cofounder
1445,John Elkann,46,2100,Finance & Investments,Italy,,False,M,1976-01-04,
1445,Bob Ell,77,2100,Real Estate,Australia,,True,M,1944-12-22,
1445,Fang Xiaoliang & family,63,2100,Healthcare,China,,True,M,1958-09-01,
1445,Lindsay Fox,84,2100,Logistics,Australia,,True,M,1937-04-19,
1445,Gary Friedman,64,2100,Fashion & Retail,United States,,True,M,1957-08-06,
1445,Gordon Getty,88,2100,Energy,United States,Ann & Gordon Getty Foundation,False,M,1933-12-20,President and Chairman
1445,Dennis Gillings,77,2100,Healthcare,United Kingdom,,True,M,1944-04-25,
1445,Harsh Goenka,64,2100,Diversified,India,,False,M,1957-12-10,
1445,David Hains,91,2100,Finance & Investments,Australia,,True,M,1930-08-19,
1445,Bahaa Hariri,55,2100,Real Estate,Lebanon,,False,M,1966-04-26,
1445,Shmuel Harlap,77,2100,Automotive,Israel,,False,M,1944-11-13,
1445,Gerry Harvey,82,2100,Fashion & Retail,Australia,,True,M,1939-09-18,
1445,Reid Hoffman,54,2100,Technology,United States,Greylock Partners,True,M,1967-08-05,Entrepreneur
1445,Hou Juncheng,57,2100,Healthcare,China,,True,M,1964-12-17,
1445,Thomas James,79,2100,Finance & Investments,United States,,False,M,1942-05-10,
1445,Eiichi Kuriwada,75,2100,Logistics,Japan,,True,M,1946-10-10,
1445,Kwek Leng Kee,67,2100,Diversified,Singapore,,False,M,1955-01-01,
1445,Lai Shixian,47,2100,Fashion & Retail,China,,True,M,1975-01-01,
1445,Lau Cho Kun,86,2100,Diversified,Malaysia,,False,M,1936-01-10,
1445,Lee Hae-jin,54,2100,Technology,South Korea,NAVER Corp.,True,M,1967-06-22,
1445,Harald Link,67,2100,Diversified,Thailand,,False,M,1955-01-12,
1445,Liu Xiucai & family,65,2100,Manufacturing,United States,,True,M,1957-03-01,
1445,Yangyong Luo & family,46,2100,Metals & Mining,China,,True,M,1975-06-02,
1445,Igor Makarov,60,2100,Energy,Russia,,True,M,1962-04-05,
1445,Alexander Mamut,62,2100,Finance & Investments,Russia,,True,M,1960-01-29,
1445,David Mindus,50,2100,Real Estate,Sweden,,True,M,1972-01-26,
1445,Yuji Otsuka,68,2100,Technology,Japan,,False,M,1954-02-13,
1445,Clive Palmer,68,2100,Metals & Mining,Australia,,True,M,1954-03-26,
1445,Ajay Parekh,64,2100,Manufacturing,India,,False,M,1957-06-23,
1445,Narendrakumar Parekh,83,2100,Manufacturing,India,,False,M,1938-04-17,
1445,Xiangdong Qi,51,2100,Technology,China,,True,M,1970-10-01,
1445,Jianhua Ren,65,2100,Manufacturing,China,,True,M,1956-08-01,
1445,Alice Schwartz,95,2100,Healthcare,United States,,True,F,1926-07-02,
1445,Peter Sondakh,72,2100,Finance & Investments,Indonesia,,True,M,1950-02-26,
1445,Song Fei,55,2100,Manufacturing,China,,True,M,1966-09-12,
1445,Timothy Springer,74,2100,Healthcare,United States,,True,M,1948-02-23,
1445,Suyu Su & family,73,2100,Real Estate,China,,True,F,1948-11-24,
1445,Elizabeth Sy,69,2100,Diversified,Philippines,,False,F,1952-06-01,
1445,Sukanto Tanoto,72,2100,Diversified,Indonesia,,True,M,1949-12-25,
1445,Jayshree Ullal,61,2100,Technology,United States,,True,F,1961-03-27,
1445,Sunny Varkey,64,2100,Service,India,,False,M,1957-04-09,
1445,Jitendra Virwani,56,2100,Real Estate,India,,False,M,1966-02-18,
1445,Wang Ren-sheng,90,2100,Fashion & Retail,Taiwan,,True,M,1931-12-01,
1445,Wang Wenmo,65,2100,Fashion & Retail,China,,True,M,1957-01-01,
1445,Thomas Wu,72,2100,Finance & Investments,Taiwan,,False,M,1950-04-01,
1445,Wu Ying,57,2100,Manufacturing,China,,True,M,1964-04-16,
1445,Amy Wyss,51,2100,Healthcare,United States,,False,F,1971-01-01,
1445,Xiang Guangming & family,58,2100,Manufacturing,China,,True,M,1963-10-01,
1445,Xu Shugen,56,2100,Manufacturing,China,,True,M,1965-06-12,
1445,Steven Meng Yang & family,39,2100,Technology,China,,True,M,1982-05-01,
1445,Clayton Zekelman,53,2100,Manufacturing,Canada,,False,M,1969-01-01,
1445,Hongfei Zhao,47,2100,Technology,China,,True,M,1974-06-01,
1513,S. Daniel Abraham,97,2000,Food & Beverage,United States,S. Daniel Abraham Center for Middle East Peace,True,M,1924-08-15,Chairman
1513,Aziz Akhannouch & family,61,2000,Diversified,Morocco,,False,M,1961-01-01,
1513,Andrey Andreev,48,2000,Technology,United Kingdom,,True,M,1974-02-03,
1513,Ramon Ang,68,2000,Food & Beverage,Philippines,,True,M,1954-01-14,
1513,Guilherme Benchimol,45,2000,Finance & Investments,Brazil,,True,M,1976-07-07,Investor
1513,Julio Bozano,86,2000,Finance & Investments,Brazil,,True,M,1936-02-01,
1513,Ryan Breslow,27,2000,Technology,United States,Bolt,True,M,1994-05-20,Cofounder
1513,Cao Jianwei,43,2000,Manufacturing,China,,True,M,1978-05-30,
1513,Herb Chambers,80,2000,Automotive,United States,,True,M,1942-01-01,
1513,Daniel Chiu,61,2000,Energy,Hong Kong,,True,M,1960-11-30,
1513,Tim Cook,61,2000,Technology,United States,Apple,True,M,1960-11-01,CEO
1513,Brunello Cucinelli & family,68,2000,Fashion & Retail,Italy,,True,M,1953-09-03,
1513,Georgi Domuschiev,49,2000,Diversified,Bulgaria,,True,M,1972-08-06,
1513,Kiril Domuschiev,52,2000,Diversified,Bulgaria,,True,M,1969-04-18,
1513,Glenn Dubin,64,2000,Finance & Investments,United States,Highbridge Capital Management,True,M,1957-04-13,Co-Founder
1513,James Duff,61,2000,Diversified,United States,,True,M,1961-03-07,
1513,Thomas Duff,65,2000,Diversified,United States,,True,M,1956-12-31,
1513,Robert Duggan,77,2000,Healthcare,United States,,True,M,1944-04-28,
1513,Maria Franca Fissolo,87,2000,Food & Beverage,Italy,,False,F,1935-01-01,
1513,Fu Mingkang & family,59,2000,Manufacturing,China,,True,M,1963-03-17,
1513,Jay Hennick,65,2000,Finance & Investments,Canada,,True,M,1957-01-20,
1513,Orion Hindawi,42,2000,Technology,United States,Tanium,True,M,1980-01-10,CEO
1513,Ji Qi,55,2000,Real Estate,China,,True,M,1966-10-01,
1513,Kim Chang-soo,61,2000,Fashion & Retail,South Korea,,True,M,1961-04-01,
1513,Vyacheslav Kim,52,2000,Finance & Investments,Kazakhstan,,True,M,1969-06-12,
1513,Kuan Kam Hon & family,74,2000,Manufacturing,Malaysia,,True,M,1947-09-04,
1513,Egor Kulkov,50,2000,Healthcare,Russia,,True,M,1971-12-07,
1513,Josh Kushner,36,2000,Finance & Investments,United States,Thrive Capital,True,M,1985-06-12,Managing Partner
1513,Henry Laufer,76,2000,Finance & Investments,United States,,True,M,1945-08-13,Investor
1513,Thomas Lee,78,2000,Finance & Investments,United States,,True,M,1944-03-27,
1513,Michael Lee-Chin,71,2000,Finance & Investments,Canada,,True,M,1951-01-03,
1513,Li Xuhui,53,2000,Food & Beverage,China,,True,F,1968-06-15,
1513,Lim Kok Thay,70,2000,Gambling & Casinos,Malaysia,,False,M,1951-08-16,
1513,Joao Roberto Marinho,68,2000,Media & Entertainment,Brazil,,False,M,1953-09-16,
1513,Jose Roberto Marinho,66,2000,Media & Entertainment,Brazil,,False,M,1955-12-26,
1513,Roberto Irineu Marinho,74,2000,Media & Entertainment,Brazil,,False,M,1947-10-13,
1513,Jim McKelvey,56,2000,Technology,United States,,True,M,1965-10-19,
1513,Robert Miller,88,2000,Fashion & Retail,United Kingdom,,True,M,1933-05-23,
1513,David Nahmad,74,2000,Fashion & Retail,Monaco,,True,M,1947-04-14,
1513,Florentino Perez,75,2000,Construction & Engineering,Spain,,True,M,1947-03-08,
1513,Jennifer Pritzker,71,2000,Finance & Investments,United States,Tawani Enterprises,False,F,1950-08-13,CEO
1513,Linda Pritzker,68,2000,Service,United States,,False,F,1953-09-14,
1513,P.V. Ramprasad Reddy,64,2000,Healthcare,India,,True,M,1958-03-30,
1513,Joe Rogers; Jr.,75,2000,Food & Beverage,United States,,False,M,1946-12-02,
1513,Ruan Shuilong & family,86,2000,Manufacturing,China,,True,M,1935-12-01,
1513,Phil Ruffin,87,2000,Diversified,United States,,True,M,1935-03-17,
1513,Vinod Saraf,69,2000,Manufacturing,India,,True,M,1952-06-16,
1513,Maria-Elisabeth Schaeffler-Thumann,80,2000,Automotive,Germany,,False,F,1941-08-17,
1513,Genhuo Shao,56,2000,Food & Beverage,China,,True,M,1965-07-29,Entrepreneur
1513,Shen Xiqiang & family,74,2000,Energy,China,,True,M,1948-03-02,
1513,Shi Wen-long,94,2000,Manufacturing,Taiwan,,True,M,1928-02-01,
1513,Thaksin Shinawatra,72,2000,Finance & Investments,Thailand,,True,M,1949-07-26,
1513,Alexander Skorobogatko,54,2000,Logistics,Russia,,True,M,1967-09-25,
1513,Sylvia Stroeher,66,2000,Fashion & Retail,Germany,,False,F,1955-05-30,
1513,Wichai Thongtang,75,2000,Finance & Investments,Thailand,,True,M,1947-01-01,
1513,Todd Wagner,61,2000,Media & Entertainment,United States,,True,M,1960-08-02,
1513,Wang Jianguo,62,2000,Fashion & Retail,China,,True,M,1960-01-01,
1513,Shuifu Wang,67,2000,Manufacturing,China,,True,M,1955-02-10,
1513,Wenbiao Wang,65,2000,Manufacturing,China,,True,M,1957-01-01,
1513,Kanye West,44,2000,Fashion & Retail,United States,Musician,True,M,1977-06-08,
1513,Evan Williams,50,2000,Technology,United States,Twitter,True,M,1972-03-31,Entrepreneur
1513,Zhongyi Wu,48,2000,Technology,China,,True,M,1973-10-28,
1513,Zhihan Xu,49,2000,Technology,China,,True,M,1972-11-30,
1513,Yan Zhi,49,2000,Real Estate,China,,True,M,1972-07-01,
1513,Michael Ying,72,2000,Fashion & Retail,Hong Kong,,True,M,1949-12-01,
1513,Yuan Liping,51,2000,Healthcare,Canada,,False,F,1971-01-01,
1579,Anu Aga,79,1900,Construction & Engineering,India,,False,F,1942-08-01,
1579,Joy Alukkas,65,1900,Fashion & Retail,India,,False,M,1956-09-04,
1579,Sezai Bacaksiz,72,1900,Diversified,Turkey,,True,M,1949-07-27,
1579,Baokun Bai,52,1900,Manufacturing,China,,True,M,,
1579,Acharya Balkrishna,49,1900,Food & Beverage,India,,True,M,1972-07-25,
1579,Kiki Barki,82,1900,Energy,Indonesia,,True,M,1939-11-25,
1579,John Bloor,78,1900,Diversified,United Kingdom,,True,M,1943-06-16,
1579,Nicola Bulgari,81,1900,Fashion & Retail,Italy,,False,M,1941-01-16,
1579,Alejandro Bulgheroni,77,1900,Energy,Argentina,,False,M,1944-11-01,
1579,Chen Kaichen,,1900,Manufacturing,China,,True,M,,
1579,Fernando Chico Pardo,70,1900,Service,Mexico,,True,M,1952-02-15,
1579,Jose Luis Cutrale,75,1900,Food & Beverage,Brazil,,False,M,1946-09-17,
1579,D. Leopoldo Del Pino,59,1900,Construction & Engineering,Spain,,False,M,1962-07-30,
1579,James Dinan,62,1900,Finance & Investments,United States,York Capital Management,True,M,1959-05-22,Founder
1579,Francois Feuillet & family,73,1900,Automotive,France,,False,M,1949-01-01,
1579,Guangming Fu & family,68,1900,Food & Beverage,China,,True,M,1953-10-02,
1579,Mario Gabelli,80,1900,Finance & Investments,United States,,True,M,1942-03-31,
1579,Reinold Geiger,74,1900,Fashion & Retail,Austria,,True,M,1947-07-10,
1579,He Zhenggang,68,1900,Manufacturing,China,,True,M,1954-03-25,
1579,Roberto Hernandez Ramirez,80,1900,Finance & Investments,Mexico,,True,M,1942-03-24,
1579,Hoi Kin Hong,69,1900,Real Estate,Macau,,True,M,1952-09-01,
1579,Huang Qiaoling,63,1900,Media & Entertainment,China,,True,M,1958-11-15,
1579,Willis Johnson,74,1900,Automotive,United States,,True,M,1947-05-26,
1579,Keeree Kanjanapas,71,1900,Real Estate,Thailand,,True,M,1950-10-18,
1579,Kim Dae-il,42,1900,Technology,South Korea,,True,M,1980-01-26,
1579,Kim Hyoung-nyon,46,1900,Finance & Investments,South Korea,,True,M,1976-01-01,
1579,Andrei Kozitsyn,61,1900,Metals & Mining,Russia,,True,M,1960-06-09,
1579,Thomas Kwok,70,1900,Real Estate,Hong Kong,,False,M,1951-10-06,
1579,Lei Jufang,69,1900,Healthcare,China,,True,F,1953-01-03,
1579,David Lichtenstein,60,1900,Real Estate,United States,,True,M,1961-11-21,
1579,Lin Dingqiang & family,55,1900,Real Estate,Hong Kong,,True,M,1966-10-01,
1579,Mikhail Lomtadze,46,1900,Finance & Investments,Georgia,,True,M,1975-10-17,
1579,Melissa Ma,,1900,Technology,China,,True,F,,
1579,Yusaku Maezawa,46,1900,Technology,Japan,,True,M,1975-11-22,
1579,Katarina Martinson,40,1900,Diversified,Sweden,,False,F,1981-05-04,
1579,Shouliang Miao,67,1900,Real Estate,China,,True,M,1955-01-01,
1579,Romano Minozzi,87,1900,Diversified,Italy,,True,M,1935-03-06,
1579,Pedro Moreira Salles,62,1900,Diversified,Brazil,,False,M,1959-10-20,
1579,Alexander Nesis,59,1900,Finance & Investments,Russia,,True,M,1962-12-19,
1579,Nguyen Dang Quang,58,1900,Food & Beverage,Vietnam,,True,M,1963-08-23,
1579,Oei Hong Leong,74,1900,Finance & Investments,Singapore,,False,M,1948-03-21,
1579,Nihat Ozdemir,72,1900,Diversified,Turkey,,True,M,1950-04-05,
1579,Gretel Packer,56,1900,Media & Entertainment,Australia,,False,F,1966-04-01,
1579,Benjamin Zhengmin Pan & family,52,1900,Technology,China,,True,M,1969-12-01,
1579,Victor Pinchuk,61,1900,Metals & Mining,Ukraine,,True,M,1960-12-14,
1579,Alexander Ponomarenko,57,1900,Logistics,Russia,,True,M,1964-10-27,
1579,Qi Jinxing,60,1900,Real Estate,China,,True,M,1962-03-28,
1579,Larry Robbins,52,1900,Finance & Investments,United States,Glenview Capital Management,True,M,1969-10-21,Investor
1579,Dwight Schar,80,1900,Construction & Engineering,United States,,True,M,1942-02-08,
1579,Shi Yifeng,48,1900,Healthcare,China,,True,M,1974-01-01,
1579,Sun Hongjun,48,1900,Technology,China,,True,M,1973-07-01,
1579,Anand Surana,51,1900,Healthcare,India,,False,M,1971-03-24,
1579,Dilip Surana,56,1900,Healthcare,India,,False,M,1966-01-18,
1579,Djoko Susanto,72,1900,Fashion & Retail,Indonesia,,True,M,1950-02-09,
1579,Sze Man Bok,72,1900,Manufacturing,China,,True,M,1950-01-01,
1579,Alain Taravella,74,1900,Real Estate,France,,True,M,1948-01-01,
1579,Martin Viessmann,68,1900,Manufacturing,Germany,,False,M,1953-10-10,
1579,Georg von Opel,55,1900,Finance & Investments,Switzerland,,False,M,1966-05-04,
1579,Changtian Wang,56,1900,Media & Entertainment,China,,True,M,1965-04-26,
1579,Wang Chaobin,66,1900,Real Estate,China,,True,M,1956-01-01,
1579,Wang Chou-hsiong,81,1900,Manufacturing,Taiwan,,True,M,1941-01-01,
1579,Wang Xiaoshen,53,1900,Manufacturing,China,,True,M,1968-10-01,
1579,Wei Yin-Heng,63,1900,Food & Beverage,Taiwan,,True,M,1959-01-01,
1579,Xue Xiangdong & family,63,1900,Technology,China,,True,M,1959-02-10,
1579,Yuan Fugen & family,71,1900,Manufacturing,China,,True,M,1950-11-15,
1579,David Zalik,48,1900,Technology,United States,GreenSky,True,M,1974-02-02,CEO
1645,Leslie Alexander,78,1800,Sports,United States,,True,M,1943-06-30,
1645,Igor Altushkin,51,1800,Metals & Mining,Russia,,True,M,1970-09-10,
